objectID,title,artistDisplayName,artistRole,objectDate,period,culture,medium,dimensions,department,objectURL,primaryImage,primaryImageSmall,isPublicDomain,localImageFileName,artist_slug,object_year,has_local_image,image_path,metadata_source
436043,"Friedrich III (1463–1525), the Wise, Elector of Saxony",Lucas Cranach the Elder and Workshop,Artist,1533,,,"Oil on beech, with letterpress-printed paper labels",8 x 5 5/8 in. (20.3 x 14.3 cm),European Paintings,https://www.metmuseum.org/art/collection/search/436043,https://images.metmuseum.org/CRDImages/ep/original/DP278968.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP278968.jpg,True,lucas_cranach_the_elder_and_workshop_436043.jpg,lucas_cranach_the_elder_and_workshop,1533.0,True,met_art_data/images/lucas_cranach_the_elder_and_workshop_436043.jpg,met_collection_api_2026-04-09
340575,Design Fragment for the Left Side of the 'Fonte Gaia' in Siena,Jacopo della Quercia (Jacopo di Pietro d’Angelo di Guarnieri),Artist,1415–16,,,"Pen and medium brown ink, brush and brown wash, over traces of leadpoint and ruling, on vellum, glued onto secondary paper support",7-13/16 x 8-7/16 in.  (20.1 x 21.4 cm),Drawings and Prints,https://www.metmuseum.org/art/collection/search/340575,https://images.metmuseum.org/CRDImages/dp/original/DP-26681-001.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP-26681-001.jpg,True,jacopo_della_quercia_jacopo_di_pietro_dangelo_di_guarnieri_340575.jpg,jacopo_della_quercia_jacopo_di_pietro_dangelo_di_guarnieri,1415.0,True,met_art_data/images/jacopo_della_quercia_jacopo_di_pietro_dangelo_di_guarnieri_340575.jpg,met_collection_api_2026-04-09
39895,The Classic of Filial Piety,Li Gonglin,Artist,ca. 1085,Northern Song dynasty (960–1127),China,Handscroll; ink and color on silk,"Overall (a, painting): 8 5/8 x 187 1/4 in. (21.9 x 475.6 cm)
Overall (b, colophons): 10 3/8 x 208 5/8 in. (26.4 x 529.9 cm)
Overall (c, modern copy preserving seventeenth century silk restorations): 9 1/8 x 196 in. (23.2 x 497.8 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/39895,https://images.metmuseum.org/CRDImages/as/original/DP151528.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP151528.jpg,True,li_gonglin_39895.jpg,li_gonglin,1085.0,True,met_art_data/images/li_gonglin_39895.jpg,met_collection_api_2026-04-09
436045,"Johann I (1468–1532), the Constant, Elector of Saxony",Lucas Cranach the Elder and Workshop,Artist,1532–33,,,"Oil on beech, with letterpress-printed paper labels",8 x 5 5/8 in. (20.3 x 14.3 cm),European Paintings,https://www.metmuseum.org/art/collection/search/436045,https://images.metmuseum.org/CRDImages/ep/original/DP278975.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP278975.jpg,True,lucas_cranach_the_elder_and_workshop_436045.jpg,lucas_cranach_the_elder_and_workshop,1532.0,True,met_art_data/images/lucas_cranach_the_elder_and_workshop_436045.jpg,met_collection_api_2026-04-09
197742,Armchair (part of a set),Nicolas-Quinibert Foliot,Maker,ca. 1754–56,,,Carved and gilded beech; wool and silk tapestry,40 1/4 x 31 x 25 1/2 in. (102.2 x 78.7 x 64.8 cm),European Sculpture and Decorative Arts,https://www.metmuseum.org/art/collection/search/197742,https://images.metmuseum.org/CRDImages/es/original/152737.jpg,https://images.metmuseum.org/CRDImages/es/web-large/152737.jpg,True,nicolasquinibert_foliot_197742.jpg,nicolasquinibert_foliot,1754.0,True,met_art_data/images/nicolasquinibert_foliot_197742.jpg,met_collection_api_2026-04-09
197738,Settee (canapé) (part of a set),Nicolas-Quinibert Foliot,Maker,ca. 1754–56,,,Carved and gilded beech; wool and silk tapestry,44 x 92 1/2 x 32 in. (111.8 x 235 x 81.3 cm),European Sculpture and Decorative Arts,https://www.metmuseum.org/art/collection/search/197738,https://images.metmuseum.org/CRDImages/es/original/TP101.jpg,https://images.metmuseum.org/CRDImages/es/web-large/TP101.jpg,True,nicolasquinibert_foliot_197738.jpg,nicolasquinibert_foliot,1754.0,True,met_art_data/images/nicolasquinibert_foliot_197738.jpg,met_collection_api_2026-04-09
197740,Armchair (part of a set),Nicolas-Quinibert Foliot,Maker,ca. 1754–56,,,Carved and gilded beech; wool and silk tapestry,40 1/2 x 30 3/4 x 24 3/4 in. (102.9 x 78.1 x 62.9 cm),European Sculpture and Decorative Arts,https://www.metmuseum.org/art/collection/search/197740,https://images.metmuseum.org/CRDImages/es/original/152736.jpg,https://images.metmuseum.org/CRDImages/es/web-large/152736.jpg,True,nicolasquinibert_foliot_197740.jpg,nicolasquinibert_foliot,1754.0,True,met_art_data/images/nicolasquinibert_foliot_197740.jpg,met_collection_api_2026-04-09
197744,Armchair (part of a set),Nicolas-Quinibert Foliot,Maker,ca. 1754–56,,,Carved and gilded beech; wool and silk tapestry,40 x 30 1/2 x 25 in. (101.6 x 77.5 x 63.5 cm),European Sculpture and Decorative Arts,https://www.metmuseum.org/art/collection/search/197744,https://images.metmuseum.org/CRDImages/es/original/152739.jpg,https://images.metmuseum.org/CRDImages/es/web-large/152739.jpg,True,nicolasquinibert_foliot_197744.jpg,nicolasquinibert_foliot,1754.0,True,met_art_data/images/nicolasquinibert_foliot_197744.jpg,met_collection_api_2026-04-09
450761,Mold Fragment with Musicians,Unknown Artist,,late 11th–early 12th century,,,Earthenware; carved,"48.101.5a and b:  
                                H. 6 3/8 in. (16.2 cm)
                                W. 6 5/16 in. (16 cm) 
                                D. 3 5/16 in. (8.4 cm)
                                Wt. 23.9 oz. (677.7 g)
48.101.5c: 
                                 H. 5 7/16 in. (13.8 cm)
                     W. 5 5/16 in. (13.5 cm)
                     D. 2 3/4 in. (7 cm)
  Wt. 12.2 oz. (345.9 g)",Islamic Art,https://www.metmuseum.org/art/collection/search/450761,https://images.metmuseum.org/CRDImages/is/original/DP367585.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP367585.jpg,True,unknown_artist_450761.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_450761.jpg,met_collection_api_2026-04-09
204692,Seated male figure,Unknown Artist,,mid-16th century,,,Bronze,"Overall figure, confirmed: 15 3/4 × 12 3/4 × 19 1/4 in. (40 × 32.4 × 48.9 cm)
Max dims, as mounted on base, confirmed: 22 1/4 × 12 1/2 × 21 1/2 in., 32.2 lb. (56.5 × 31.8 × 54.6 cm, 14.6 kg)
Base only, confirmed: 10 1/8 in. × 12 1/2 in. × 10 in. (25.7 × 31.8 × 25.4 cm)",European Sculpture and Decorative Arts,https://www.metmuseum.org/art/collection/search/204692,https://images.metmuseum.org/CRDImages/es/original/DP-12316-001.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP-12316-001.jpg,True,unknown_artist_204692.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_204692.jpg,met_collection_api_2026-04-09
